toponimo_i,link,varon,mujer,totalpobl,hogares,viviendasp,viv_part_h,personasxvivienda,Area_RC,Pje_Total_BP_en_RC,Porcentaje_de_hogares_con_conexion_a_red,%conaccesoredgas,%dehogarescnib,%conaccesoredeagua,connivelsec,cestudiosuper,cal1,malacmateriales,superficie,densidad_p,palto,pmedioalto,pbajo,pmuybajo
298391,060350203,581,600,1181,299,296,287,4.11498257839721,505960.297755301,21.58,5.69,0.67,27.09,99.67,57.72,60.6177606177606,60.28,39.72,512207.32,23.06,10.34,3.07,54.79,31.8
298397,060350307,439,461,900,317,326,315,2.85714285714286,27314.0073765703,0,100,100,0.63,100,44.53,65.4340836012862,100,0,27651.24,324.91,63.28,7.76,25.37,3.58
298406,060350315,447,500,947,330,352,318,2.97798742138365,285919.129782021,0,92.73,91.82,1.21,97.88,46.39,66.2058371735791,94.03,5.97,289440.59,32.72,57.73,7.29,29.74,5.25
298416,060350410,356,376,732,248,264,230,3.18260869565217,83580.7567645907,0,72.58,91.13,2.02,100,58.64,68.5436893203884,92.17,7.83,84606.5,86.52,37.89,7.37,46.84,7.89
298422,060350415,331,361,692,253,245,224,3.08928571428571,71140.6744749546,0,98.81,98.81,0.4,100,42.22,73.5607675906183,98.66,1.34,72015.27,96.11,75.19,7.52,14.66,2.63
298423,060350501,292,304,596,193,211,184,3.23913043478261,101054.992557079,0,8.38,73.58,9.84,100,50.13,65.7142857142857,90.76,9.24,102288.38,58.26,48.89,6.11,35.56,9.44
298446,060350612,457,490,947,299,342,263,3.60076045627376,135722.765936404,0,86.96,88.63,5.02,99.33,56.25,70.78125,94.68,5.32,137378.86,68.92,46.56,10.53,33.6,9.31
298449,060350703,433,486,919,264,276,244,3.76639344262295,82072.0568457544,0,85.06,54.92,8.71,97.73,47.44,57.3055028462998,91.8,8.2,83071.69,110.59,30.97,7.84,45.9,15.3
298452,060350706,536,567,1103,363,379,340,3.24411764705882,144265.939281836,0,71.59,78.51,4.96,99.45,52.65,60.8938547486033,90.59,9.41,146025.54,75.55,30.77,7.36,49.5,12.37
298502,060351102,485,487,972,259,261,229,4.24454148471616,64265.3401990123,0,99.22,67.57,15.06,100,46.56,59.6219931271478,86.9,13.1,65043.65,149.54,35.47,6.79,47.17,10.57
298503,060351103,260,250,510,157,159,154,3.31168831168831,67128.1921689808,0,99.36,73.89,7.01,100,53.67,69.3333333333333,94.81,5.19,67941.59,75.11,45.57,12.03,34.81,7.59
